label,mass,TMTpro-126,TMTpro-127N,TMTpro-127C,TMTpro-128N,TMTpro-128C,TMTpro-129N,TMTpro-129C,TMTpro-130N,TMTpro-130C,TMTpro-131N,TMTpro-131C,TMTpro-132N,TMTpro-132C,TMTpro-133N,TMTpro-133C,TMTpro-134N,extra
TMTpro-126,126.127726,100,,9.09,,,,,,,,,,,,,,0.32
TMTpro-127N,127.124761,0.78,100,,9.41,,,,,,,,,,,,,0.33
TMTpro-127C,127.131081,0.93,,100,,8.63,,,,,,,,,,,,0.63
TMTpro-128N,128.128116,,0.95,,100,,8.38,,,,,,,,,,,1.05
TMTpro-128C,128.134436,,,1.47,,100,,6.91,,,,,,,,,,0.49
TMTpro-129N,129.131471,,,,1.46,,100,,6.86,,,,,,,,,1.43
TMTpro-129C,129.13779,,,,,2.74,,100,,6.15,,,,,,,,0.98
TMTpro-130N,130.134825,,,,,,2.76,,100,,5.98,,,,,,,1.24
TMTpro-130C,130.141145,,,,,,,3.1,,100,,4.82,,,,,,0.54
TMTpro-131N,131.13818,,,,,,,,3.09,,100,,4.75,,,,,1.5
TMTpro-131C,131.1445,,,,,,,,,3.81,,100,,3.29,,,,0.54
TMTpro-132N,132.141535,,,,,,,,,,2.84,,100,,3.51,,,0.85
TMTpro-132C,132.147855,,,,,,,,,,,4.55,,100,,1.86,,0.54
TMTpro-133N,133.14489,,,,,,,,,,,,3.64,,100,,1.94,1.19
TMTpro-133C,133.15121,,,,,,,,,,,,,4.96,,100,,0.56
TMTpro-134N,134.148245,,,,,,,,,,,,,,5.49,,100,2.06
