ProteinName,Condition,Mixture,Channel,BioReplicate,Class,Class2
H2B.C,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P12956|XRCC6,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P54727;sp|P54727|RD23B,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|Q14527;sp|Q14527|HLTF,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|O15379;sp|O15379|HDAC3;sp|Q13547|HDAC1;sp|Q92769;sp|Q92769|HDAC2,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P10412|H14;sp|P16401|H15;sp|P16403|H12,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P0DMV8;sp|P0DMV8|HS71A;sp|P0DMV9|HS71B;sp|P34931|HS71L,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P36406;sp|P36406|TRI23,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|Q01831|XPC,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
H3.2;sp|P68431|H31;sp|Q16695|H31T;sp|Q71DI3|H32,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|Q9ULW0;sp|Q9ULW0|TPX2,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|O75528;sp|O75528|TADA3,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P10412|H14;sp|P16402|H13;sp|P16403|H12;sp|P22492|H1T;sp|Q02539|H11,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P68363;sp|P68363|TBA1B;sp|Q71U36;sp|Q71U36|TBA1A;sp|Q9BQE3|TBA1C,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|Q9GZN1;sp|Q9GZN1|ARP6,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|Q13547|HDAC1;sp|Q92769;sp|Q92769|HDAC2,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P0DMV8;sp|P0DMV8|HS71A;sp|P0DMV9|HS71B,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P10412|H14;sp|P16401|H15;sp|P16402|H13;sp|P16403|H12;sp|Q02539|H11,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|O94776;sp|O94776|MTA2,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P68363|TBA1B;sp|Q71U36;sp|Q71U36|TBA1A;sp|Q9BQE3|TBA1C,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
H3.2;sp|P68431|H31;sp|P84243|H33;sp|Q16695|H31T;sp|Q71DI3|H32,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|Q9H0E9;sp|Q9H0E9|BRD8,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P16403|H12,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P0DMV8;sp|P0DMV8|HS71A;sp|P0DMV9|HS71B;sp|P17066|HSP76,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P38159;sp|P38159|RBMX;sp|Q96E39|RMXL1,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
H3.2;sp|P68431|H31;sp|P84243|H33;sp|Q16695|H31T;sp|Q6NXT2|H3C;sp|Q71DI3|H32,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|Q9UMN6|KMT2B,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|O94776|MTA2,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P26368;sp|P26368|U2AF2,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P68363;sp|P68363|TBA1B;sp|P68366;sp|P68366|TBA4A,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|Q14527|HLTF,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P0DMV8;sp|P0DMV8|HS71A;sp|P0DMV9|HS71B;sp|P17066|HSP76;sp|P48741|HSP77,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|Q9Y230;sp|Q9Y230|RUVB2,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|Q9H147|TDIF1,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P54725;sp|P54725|RD23A;sp|P54727|RD23B,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|Q92841;sp|Q92841|DDX17,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P39880;sp|P39880|CUX1,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|O94805|ACL6B;sp|O96019;sp|O96019|ACL6A,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|B2RPK0|HGB1A;sp|P09429|HMGB1;sp|P26583|HMGB2,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P13010|XRCC5,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P54727|RD23B,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|O95210|STBD1,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P26599;sp|P26599|PTBP1,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|Q2KHR3;sp|Q2KHR3|QSER1,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|Q9H1A4|APC1,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P10412|H14;sp|P16401|H15;sp|P16402|H13;sp|P16403|H12,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P11387|TOP1;sp|Q969P6;sp|Q969P6|TOP1M,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P40937;sp|P40937|RFC5,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|O95251;sp|O95251|KAT7,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|Q14676;sp|Q14676|MDC1,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|Q02880;sp|Q02880|TOP2B,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P27540;sp|P27540|ARNT,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P07437|TBB5;sp|P68371|TBB4B;sp|Q13885|TBB2A;sp|Q9BVA1|TBB2B,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|Q9BQW3;sp|Q9BQW3|COE4;sp|Q9H4W6;sp|Q9H4W6|COE3,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|O95785,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|O95785;sp|O95785|WIZ,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P04350|TBB4A;sp|P07437|TBB5;sp|P68371|TBB4B;sp|Q13509;sp|Q13509|TBB3,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|Q52LR7|EPC2,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|Q9H7L9|SDS3,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P10412|H14;sp|P16402|H13;sp|P16403|H12,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P04350|TBB4A;sp|P07437|TBB5;sp|P68371|TBB4B,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|Q53EQ6;sp|Q53EQ6|TIGD5,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P16402|H13,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P68104|EF1A1;sp|Q05639|EF1A2;sp|Q5VTE0|EF1A3,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P27694|RFA1,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P04350|TBB4A;sp|P07437|TBB5;sp|P68371|TBB4B;sp|Q13885|TBB2A;sp|Q9BVA1|TBB2B,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|Q9H8E8;sp|Q9H8E8|CSR2B,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|Q96DT7;sp|Q96DT7|ZBT10,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P40937|RFC5,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|Q5PSV4;sp|Q5PSV4|BRM1L,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P31943|HNRH1;sp|P55795|HNRH2,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P40938;sp|P40938|RFC3,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|Q06587;sp|Q06587|RING1;sp|Q99496|RING2,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|Q9Y230|RUVB2,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|Q9H967|WDR76,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P56178;sp|P56178|DLX5;sp|Q07687;sp|Q07687|DLX2,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|A6NKT7|RGPD3;sp|P49792|RBP2;sp|Q7Z3J3|RGPD4,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|Q9Y265;sp|Q9Y265|RUVB1,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P27816;sp|P27816|MAP4,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P0DMV8|HS71A;sp|P0DMV9|HS71B;sp|P34931|HS71L,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|Q86UP3;sp|Q86UP3|ZFHX4,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|Q9HAP2;sp|Q9HAP2|MLXIP,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P56270;sp|P56270|MAZ,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P17040;sp|P17040|ZSC20,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|Q9Y265|RUVB1,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|Q5SSJ5;sp|Q5SSJ5|HP1B3,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|B7ZW38|HNRC3;sp|O60812|HNRC1;sp|P0DMR1|HNRC4,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|Q96JM7,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P40938|RFC3,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|Q08945|SSRP1,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|Q86V81|THOC4,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|Q9NPF5|DMAP1,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|O00159;sp|O00159|MYO1C,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
sp|P60709|ACTB;sp|P63261|ACTG,Norm,1,channel.1,1_Norm,1_Norm_1,channel.1_1
