GeneName,ProteinName,1_E113A_1,2_E113A_1,3_E113A_1,1_E113Q_1,2_E113Q_1,3_E113Q_1,1_E56A_1,2_E56A_1,3_E56A_1,1_E56Q_1,2_E56Q_1,3_E56Q_1,1_WT_1,2_WT_1,3_WT_1
,sp|A6NKT7|RGPD3;sp|P49792|RBP2;sp|Q7Z3J3|RGPD4,13424.2296904252,11321.9760435251,6223.69146955353,10772.6422217961,11471.5730980227,15293.0340212882,9677.04405484752,3764.88316491208,5369.79864830044,4798.00237812237,6595.68014713422,4388.55034764301,6255.25805664497,4451.26595884809,3625.44076585077
,sp|B2RPK0|HGB1A;sp|P09429|HMGB1;sp|P26583|HMGB2,2211.70523218728,3771.47601985334,1087.61943186638,5494.61704226534,6529.89271407467,7679.50700532895,7545.6615845561,6714.14420475939,3421.05617219226,3647.09992642164,9991.62804054321,3873.99286560275,5299.53481621828,5547.41327301732,6091.18475711717
,sp|B7ZW38|HNRC3;sp|O60812|HNRC1;sp|P0DMR1|HNRC4,9443.94729602625,11557.6561627059,7875.5748679319,8353.37796799878,8220.26185020196,10331.1300242747,39917.7330867071,36893.8032443767,24318.5448154601,9628.31083362118,5239.1745157593,7326.93956797847,16581.6683860317,21548.7655487965,20486.0699347754
,sp|O00159;sp|O00159|MYO1C,1498.98948331153,15751.2465347012,2724.28062525831,0,1814.54555199319,3597.48519622568,10293.3718840201,5862.93997385883,3896.94916225365,3450.18455739476,4200.03945421012,3405.75473619467,7401.23849197879,6246.44254115988,3674.57894967213
,sp|O00255;sp|O00255|MEN1,11182.5542406587,12481.2138403757,8795.46735366167,7732.74328204259,14239.6755520633,13386.5874219368,17382.9635155916,19174.6383459253,22160.0903199257,8232.73835364594,11877.6980351207,13317.2243999119,3954.1077076914,7401.70178282283,3967.21389090543
,sp|O00287|RFXAP,25656.3536753173,19982.1285648671,20697.8063444475,13333.1021781151,11686.142529455,14051.3896614522,35992.4292098036,44362.6633476922,46145.8366426907,20178.3290204948,24555.6150355024,22724.1089597341,6194.84894218149,9079.40182014858,7553.42078592335
,sp|O00716;sp|O00716|E2F3,17165.5110280218,12402.0277807444,15736.9485042275,11295.2874072804,12318.3092749277,17596.6573835713,32279.6264261295,32243.3220261091,28796.4188138288,17979.1301642626,17907.2118132673,16662.1848641216,4947.05752878514,7248.62336654509,7106.17962410842
,sp|O14593;sp|O14593|RFXK,4892.17736986761,4098.80669174997,4548.41996789151,2904.14397633678,3236.18242673566,3689.34553534404,6769.87298991382,7140.67154008134,10294.142125489,4534.80831916648,5402.10903389796,4204.04819889064,2069.03882441275,893.848852500858,1096.58992398442
,sp|O14734|ACOT8,2332.78648299514,4318.75550432375,4843.33250896037,4307.57011773235,5697.28742136117,4075.87791362527,5499.59872104407,4480.63581989379,3152.67976648162,3683.18708368135,3263.09832369291,3316.68436794931,5644.38164149776,6500.87558897108,5606.76804633561
,sp|O15156;sp|O15156|ZBT7B,3425.41870875735,2474.49127045673,3656.32528955332,3940.93883698428,2978.2145669547,3530.41995209223,9013.22536421764,7810.18100572612,9657.293550446,3824.76492194236,626.592911256003,2859.25179915667,940.804163806799,921.236828749423,1126.59713424794
,sp|O15379;sp|O15379|HDAC3;sp|Q13547|HDAC1;sp|Q92769;sp|Q92769|HDAC2,25164.9896135485,31047.7223489536,30643.5659785254,14528.9560220922,16958.3941286715,15623.6005538802,70051.5158872939,70656.5609364277,54089.3362177165,17406.8896861585,16279.6864664002,25360.8679574166,16641.4290606691,13550.007604334,18993.2144242986
,sp|O43390;sp|O43390|HNRPR,8088.36900069779,18426.6580817777,7043.91453453299,11293.2784186182,9663.47954758091,6575.98415909047,36380.6606001766,31656.3524182369,34183.8886571939,8668.96868173343,9140.29018547256,10467.5963235837,15428.911612824,17437.5324199824,13646.6646270145
,sp|O43829|ZBT14,10301.0561958122,7147.38680328537,5825.69463032196,4073.34207302066,6379.84103966772,5752.97041201955,11334.7731665981,11449.1327528737,15554.643217214,6009.60710217719,6277.30256202668,5024.68192898388,2306.80786148485,1971.63167414477,2898.74925434955
,sp|O60264|SMCA5,2045.24050262222,1995.79941852417,1851.53096892432,321.39962854721,2219.05578327638,1295.34555957421,6264.16898918821,6082.68542530494,7068.77240416501,944.670401976487,1706.45914387423,2543.40521146507,1612.29658317851,1896.55812456263,3111.85514949046
,sp|O60264|SMCA5;sp|P28370;sp|P28370|SMCA1,7270.73093850271,6719.9225618757,7100.3975460874,4195.53665821156,4519.82788534462,4313.17374046612,20872.4167955712,24244.375297839,14897.6088023877,3028.68763857132,5643.40591410969,3718.67353389705,4781.11850794461,8349.50832841341,1730.28278737922
,sp|O60341;sp|O60341|KDM1A,21070.1606375532,15917.9934848346,21706.8971282619,10921.3369780948,8906.38575745968,10201.5759214943,41774.9008942551,37365.843849897,37696.2686790551,16000.8872287437,17356.7421278334,16610.5159402651,12834.0067927015,14197.7924760018,10056.7678601497
,sp|O75475;sp|O75475|PSIP1,60154.733708737,48383.2287967731,70320.9219728991,45580.041368438,50178.5808766297,48450.4475425967,80659.6171557353,63282.2943677107,69281.1834087282,47452.8417890466,50433.1326346025,51772.4616298344,41317.4396379457,46601.9013029806,48082.8368374073
