GeneName,ProteinName,pvalue_E113A,adj.pvalue_E113A,log2FC_E113A,pvalue_E113Q,adj.pvalue_E113Q,log2FC_E113Q,pvalue_E56A,adj.pvalue_E56A,log2FC_E56A,pvalue_E56Q,adj.pvalue_E56Q,log2FC_E56Q
H2B.C,H2B.C,,,,,,,,,,,,
sp|O00287|RFXAP,,0.00212193369092892,0.0121185990793051,1.40165154910785,0.220373534495005,0.349604928180348,0.469569867393492,3.39796728305928e-05,0.000178219916682905,2.27707106116903,0.00394899931861122,0.0151476541027326,1.28112698501312
sp|O14734|ACOT8,,0.0272951457146907,0.0887956006161458,-0.691983002703702,0.233722881300608,0.364041093904584,-0.346786219958951,0.115741454162396,0.168053975817717,-0.468336835529582,0.0141076610903563,0.0412007829570633,-0.789226701959315
sp|O43829|ZBT14,,1.84273123678519e-07,7.89303213089656e-06,2.36834671014131,5.10001596115342e-06,7.7100241295084e-05,1.74812912535055,8.97368848213101e-09,3.84372989984612e-07,3.07353459378487,4.53128057565543e-06,5.06321351279759e-05,1.76794426607939
sp|O60264|SMCA5,,0.847231419553543,0.928334334442426,-0.110773243716761,0.0686072993682433,0.144525212603594,-1.12151750957877,0.013909540188522,0.0267334361512075,1.60767185734584,0.4853897024512,0.636454864948767,-0.404875161152559
sp|O75475|PSIP1,,0.134028012195906,0.267017047553084,0.43693361625667,0.895562526150774,0.930617332411336,0.0365442013894656,0.00928888139331973,0.0195675616236325,0.836769281800158,0.0549214654606623,0.119617090028731,0.577149296695444
sp|O75478|TAD2A,,0.85612709112831,0.928334334442426,0.11255279137612,0.0143581161891127,0.0439289983404996,-1.72567475997,0.794673444933133,0.865385912490742,-0.161673541037876,0.00093092036340074,0.00443049135914797,-2.61301177841044
sp|O94776|MTA2,,0.767045815589455,0.864608660554781,-0.193816122349351,0.469412321254242,0.606225962624825,-0.477570317105045,0.132692572661192,0.188408791016168,1.02922697143734,0.000600936252663134,0.00302824739087109,-2.90599761534383
sp|O95210|STBD1,,0.111486334068293,0.241787313200312,-0.384772695375126,0.193304789233292,0.317349243536713,-0.308974678036658,0.000900204249936361,0.00272179402627817,-0.970086274590624,0.737110381575307,0.827237415130366,0.0771597141264047
sp|O95785,,0.20914278383395,0.383926396038037,0.43176506387702,0.454860099308213,0.590399219809145,0.251537278750947,0.00384282473443165,0.00940577101665651,1.15237956298435,0.219971183541918,0.342428803494891,0.421043417401775
sp|O96019|ACL6A,,9.08604426759822e-07,2.59457041863638e-05,-2.47002681900196,2.64970557844133e-08,1.1349572227657e-06,-3.44090010336354,2.33582313047228e-05,0.000142930129650328,-1.78092593544036,7.88583249465716e-08,2.02665895112689e-06,-3.47924775764468
sp|P04264|K2C1,,0.43765394381726,0.593324490070773,-0.32266912742582,0.382024821988264,0.525028766048042,-0.364632313127461,0.911341652782596,0.933312037679022,0.0457307536023766,0.273415281159371,0.399248450329309,-0.460988539614161
sp|P04350|TBB4A,,0.358521435487421,0.530268808031899,0.350763281345991,0.35434098156,0.493386260847168,0.353933958794458,0.0149039254451876,0.0283726580697275,1.03709248135666,0.374158980767131,0.514218492284239,0.339128443503964
sp|P06400|RB,,2.84556689432673e-05,0.000365655345920985,2.00718881169445,8.22213839997983e-05,0.000769917230656021,1.7964751848749,1.91733762837293e-07,3.50492141332602e-06,3.20978324735796,3.85870529841293e-05,0.000268023584241115,1.94543008455517
sp|P06746|DPOLB,,0.251263057603101,0.42764639605296,-0.321970487470275,0.0159550947501309,0.0467808691604106,-0.744757842439445,0.00243444768420394,0.00631972782667083,1.01090669666709,0.550174298785715,0.693111739156513,0.164379474585165
sp|P07437|TBB5,,0.0755965772406984,0.190473728929995,0.396183815969274,0.355161316174032,0.493386260847168,-0.196416951597848,2.04873606627322e-05,0.000128420772934688,1.34705498939801,0.410891614923571,0.55861782663549,-0.174040563614156
sp|P08670|VIME,,0.438644564643762,0.593324490070773,-0.47521141936723,0.015352629625591,0.0458793699276381,-1.66483331351852,0.899047096374804,0.931673805517439,0.0769129741653692,0.0120393626976888,0.0364013672153649,-1.74109162537785
sp|P09874|PARP1,,0.310405595056681,0.491585530107723,0.2182885644224,0.262051889462783,0.389290957178816,0.242506388850658,0.0493234068876854,0.0797239972964475,0.449186932404421,0.647664904333767,0.756590365517174,0.0966937509830462
sp|P10412|H14,,0.181060300031312,0.34725744110483,0.325971030936637,0.590160933980302,0.729189230927585,-0.127241606652988,0.593735198364235,0.690452244251622,-0.126005441353368,0.541418887414324,0.688834921116244,-0.144512929593199
sp|P11021|BIP,,0.539658486520538,0.693980508073218,0.278466545628964,0.411267127120819,0.547645863575391,0.375365297873972,0.00554480083211794,0.0122846018435716,1.47471977017245,0.891728356391235,0.920378263423885,-0.0613481428262227
sp|P11142|HSP7C,,0.685191432866868,0.800428173849023,0.268939782476324,0.27530280172452,0.406625402547137,-0.73925383715077,0.0924572039785328,0.138148264084203,1.18022993224914,0.794564162780358,0.861615990863089,-0.172402635547065
sp|P11387|TOP1,,0.980283314895731,0.987278353527934,0.00954992321572099,0.78701200987028,0.876180622679935,-0.104563509921201,0.865607607548814,0.904313638780671,0.0654357774062934,0.242561331387313,0.370515817059577,-0.464506515959971
