Gene,pvalue
sp.A6NKT7.RGPD3.sp.P49792.RBP2.sp.Q7Z3J3.RGPD4,0.0413219292040347
sp.B2RPK0.HGB1A.sp.P09429.HMGB1.sp.P26583.HMGB2,0.0713426179077969
sp.B7ZW38.HNRC3.sp.O60812.HNRC1.sp.P0DMR1.HNRC4,0.000169673971420846
sp.O00159.sp.O00159.MYO1C,0.625184368456024
sp.O00255.sp.O00255.MEN1,0.0443345921545424
sp.O00287.RFXAP,0.00771976139899748
sp.O00716.sp.O00716.E2F3,0.00394450021961943
sp.O14593.sp.O14593.RFXK,0.000665348250741568
sp.O14734.ACOT8,0.493137630021171
sp.O15156.sp.O15156.ZBT7B,0.0336607923770345
sp.O15379.sp.O15379.HDAC3.sp.Q13547.HDAC1.sp.Q92769.sp.Q92769.HDAC2 ~ ,     condition,2.03804209540146e-05
sp.O43390.sp.O43390.HNRPR,0.00165970332670389
sp.O43829.ZBT14,0.0011309786194943
sp.O60264.SMCA5,0.0177667041444523
sp.O60264.SMCA5.sp.P28370.sp.P28370.SMCA1,4.13351301613837e-05
sp.O60341.sp.O60341.KDM1A,0.000195094155681852
sp.O75475.PSIP1,0.132344921249263
sp.O75475.sp.O75475.PSIP1,0.0293183108732858
sp.O75478.TAD2A,0.0178281099219203
sp.O75528.sp.O75528.TADA3,0.00852336110332726
sp.O94776.MTA2,0.00589331240287299
sp.O94776.sp.O94776.MTA2,0.0200970445106447
sp.O94805.ACL6B.sp.O96019.sp.O96019.ACL6A,0.209625180585542
sp.O95210.STBD1,0.00473754651218709
sp.O95251.sp.O95251.KAT7,0.00302778270715889
sp.O95785,0.0375934152204101
sp.O95785.sp.O95785.WIZ,0.000538066917719916
sp.O96019.ACL6A,0.00218828611523144
sp.O96019.sp.O96019.ACL6A,0.00670258759077739
sp.P04264.K2C1,0.394380054243588
sp.P04350.TBB4A,0.305186705043999
sp.P04350.TBB4A.sp.P07437.TBB5.sp.P68371.TBB4B,0.00163771792495021
sp.P04350.TBB4A.sp.P07437.TBB5.sp.P68371.TBB4B.sp.Q13509.sp.Q13509.TBB3 ~ ,     condition,0.00214425865223618
sp.P04350.TBB4A.sp.P07437.TBB5.sp.P68371.TBB4B.sp.Q13885.TBB2A.sp.Q9BVA1.TBB2B ~ ,     condition,0.0277448185033112
sp.P06400.RB,0.00037415880065561
sp.P06746.DPOLB,0.00165669537396164
sp.P07305.sp.P07305.H10,0.149814313460624
sp.P07437.TBB5,0.000160982920810728
sp.P07437.TBB5.sp.P68371.TBB4B.sp.Q13885.TBB2A.sp.Q9BVA1.TBB2B ~ ,     condition,0.00350414848287337
sp.P07437.TBB5.sp.Q13509.TBB3.sp.Q13885.TBB2A.sp.Q9BVA1.TBB2B ~ ,     condition,0.0016583951393735
sp.P07910.sp.P07910.HNRPC,4.20346997148998e-05
sp.P08670.VIME,0.0918478574902263
sp.P08670.VIME.sp.P41219.sp.P41219.PERI,0.175013505341728
sp.P09874.PARP1,0.432193525519168
sp.P0CG47.UBB.sp.P0CG48.UBC.sp.P62979.RS27A.sp.P62987.RL40 ~ ,     condition,0.000780598733292096
sp.P0DMV8.HS71A.sp.P0DMV9.HS71B.sp.P34931.HS71L,1.33269326596225e-05
sp.P0DMV8.sp.P0DMV8.HS71A.sp.P0DMV9.HS71B,2.92563798550971e-05
sp.P0DMV8.sp.P0DMV8.HS71A.sp.P0DMV9.HS71B.sp.P17066.HSP76,0.0289566915116746
sp.P0DMV8.sp.P0DMV8.HS71A.sp.P0DMV9.HS71B.sp.P17066.HSP76.sp.P48741.HSP77 ~ ,     condition,0.28242355869002
sp.P0DMV8.sp.P0DMV8.HS71A.sp.P0DMV9.HS71B.sp.P34931.HS71L,0.00127977509101663
sp.P10412.H14,0.196339520928657
sp.P10412.H14.sp.P16401.H15.sp.P16402.H13.sp.P16403.H12,0.875499040014879
sp.P10412.H14.sp.P16401.H15.sp.P16402.H13.sp.P16403.H12.sp.Q02539.H11 ~ ,     condition,0.419783454798392
sp.P10412.H14.sp.P16401.H15.sp.P16403.H12,0.16498140293139
sp.P10412.H14.sp.P16402.H13.sp.P16403.H12,0.165160131344937
sp.P10412.H14.sp.P16402.H13.sp.P16403.H12.sp.P22492.H1T.sp.Q02539.H11 ~ ,     condition,0.234740331444608
sp.P11021.BIP,0.062553016596166
sp.P11142.HSP7C,0.154688767399987
sp.P11142.sp.P11142.HSP7C,0.000615232724748723
sp.P11142.sp.P11142.HSP7C.sp.P17066.HSP76.sp.P54652.HSP72,0.00529838835749227
sp.P11387.TOP1,0.601394570404788
sp.P11387.TOP1.sp.Q969P6.sp.Q969P6.TOP1M,0.130523040133204
sp.P11388.sp.P11388.TOP2A,0.00810310565847516
sp.P12956.sp.P12956.XRCC6,0.0325388058116744
sp.P12956.XRCC6,0.0130385585159978
sp.P13010.XRCC5,0.0116745297647086
sp.P16402.H13,0.487028477800877
sp.P16403.H12,0.873524775150871
sp.P17040.sp.P17040.ZSC20,0.0010447710769839
sp.P17480.sp.P17480.UBF1,2.61641287730139e-06
sp.P18754.sp.P18754.RCC1,6.66597753166094e-05
sp.P18887.XRCC1,0.0279892010864175
sp.P19532.TFE3,0.449731834860989
sp.P20585.MSH3,0.000818680590259267
sp.P22415.sp.P22415.USF1,0.00077955812438627
sp.P26368.sp.P26368.U2AF2,0.00930438451975467
sp.P26599.sp.P26599.PTBP1,4.45838020512225e-05
sp.P27540.sp.P27540.ARNT,0.0234163649662245
sp.P27694.RFA1,0.00365953160814602
sp.P27816.sp.P27816.MAP4,0.00399618526346245
sp.P29372.sp.P29372.3MG,0.288711880498929
sp.P30260.sp.P30260.CDC27,0.098954733191652
sp.P31270.HXA11,0.288013074022167
sp.P31943.HNRH1.sp.P52597.HNRPF,0.000164536728125784
sp.P31943.HNRH1.sp.P55795.HNRH2,0.00179431301007353
sp.P35249.RFC4,0.0150049275296644
sp.P35249.sp.P35249.RFC4,0.000761466823424433
sp.P35250.RFC2,0.0753619123828558
sp.P35250.sp.P35250.RFC2,0.000124221441514129
sp.P35251.sp.P35251.RFC1,0.0419924924814297
sp.P35579.MYH9,0.132139007463964
sp.P35579.MYH9.sp.P35580.sp.P35580.MYH10,0.231463884749231
sp.P35579.sp.P35579.MYH9,0.312408903748137
sp.P35580.sp.P35580.MYH10,0.171999804199641
sp.P35659.DEK,0.115918536440654
sp.P35659.sp.P35659.DEK,0.00105300315656687
sp.P36406.sp.P36406.TRI23,0.223759804903954
sp.P38159.sp.P38159.RBMX.sp.Q96E39.RMXL1,0.0176937454342397
sp.P39880.sp.P39880.CUX1,0.000222132380768592
sp.P40937.RFC5,0.030165726124058
