Gene,padj
sp.A6NKT7.RGPD3.sp.P49792.RBP2.sp.Q7Z3J3.RGPD4,1
sp.B2RPK0.HGB1A.sp.P09429.HMGB1.sp.P26583.HMGB2,1
sp.B7ZW38.HNRC3.sp.O60812.HNRC1.sp.P0DMR1.HNRC4,0.0369889257697445
sp.O00159.sp.O00159.MYO1C,1
sp.O00255.sp.O00255.MEN1,1
sp.O00287.RFXAP,1
sp.O00716.sp.O00716.E2F3,0.611397534041012
sp.O14593.sp.O14593.RFXK,0.131073605396089
sp.O14734.ACOT8,1
sp.O15156.sp.O15156.ZBT7B,1
sp.O15379.sp.O15379.HDAC3.sp.Q13547.HDAC1.sp.Q92769.sp.Q92769.HDAC2 ~ ,     condition,0.00495244229182556
sp.O43390.sp.O43390.HNRPR,0.288264995069325
sp.O43829.ZBT14,0.204707130128469
sp.O60264.SMCA5,1
sp.O60264.SMCA5.sp.P28370.sp.P28370.SMCA1,0.00975509071808656
sp.O60341.sp.O60341.KDM1A,0.0423354317829618
sp.O75475.PSIP1,1
sp.O75475.sp.O75475.PSIP1,1
sp.O75478.TAD2A,1
sp.O75528.sp.O75528.TADA3,1
sp.O94776.MTA2,0.872210235625203
sp.O94776.sp.O94776.MTA2,1
sp.O94805.ACL6B.sp.O96019.sp.O96019.ACL6A,1
sp.O95210.STBD1,0.720107069852438
sp.O95251.sp.O95251.KAT7,0.484445233145422
sp.O95785,1
sp.O95785.sp.O95785.WIZ,0.107613383543983
sp.O96019.ACL6A,0.36544378124365
sp.O96019.sp.O96019.ACL6A,0.985280375844277
sp.P04264.K2C1,1
sp.P04350.TBB4A,1
sp.P04350.TBB4A.sp.P07437.TBB5.sp.P68371.TBB4B,0.286600636866287
sp.P04350.TBB4A.sp.P07437.TBB5.sp.P68371.TBB4B.sp.Q13509.sp.Q13509.TBB3 ~ ,     condition,0.360235453575679
sp.P04350.TBB4A.sp.P07437.TBB5.sp.P68371.TBB4B.sp.Q13885.TBB2A.sp.Q9BVA1.TBB2B ~ ,     condition,1
sp.P06400.RB,0.0778250305363668
sp.P06746.DPOLB,0.288264995069325
sp.P07305.sp.P07305.H10,1
sp.P07437.TBB5,0.035577225499171
